card_num	number	name_ko	rarity	card_type	subtype	hp	type	image_url	_source	_image_source_url	_name_source	_rarity_source	_jp_number
JP2026M6A146	146	메타그로스	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A146.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374665	https://www.serebii.net/card/30thcelebrationjapan/146.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	146
JP2026M6A147	147	펄기아	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A147.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374675	https://www.serebii.net/card/30thcelebrationjapan/147.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	147
JP2026M6A148	148	유크시	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A148.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374685	https://www.serebii.net/card/30thcelebrationjapan/148.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	148
JP2026M6A149	149	크로뱃 G	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A149.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374695	https://www.serebii.net/card/30thcelebrationjapan/149.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	149
JP2026M6A150	150	팬텀	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A150.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374705	https://www.serebii.net/card/30thcelebrationjapan/150.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	150
JP2026M6A151	151	다크라이&크레세리아 LEGEND (다크라이)	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A151.jpg	https://www.cardrush-pokemon.jp/phone/product-group/594?page=4	https://www.serebii.net/card/30thcelebrationjapan/151.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	151
JP2026M6A152	152	다크라이&크레세리아 LEGEND (크레세리아)	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A152.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374714	https://www.serebii.net/card/30thcelebrationjapan/152.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	152
JP2026M6A153	153	N	REPRINT	트레이너				external/m6a-30th-celebration/JP2026M6A153.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374735	https://www.serebii.net/card/30thcelebrationjapan/153.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	153
JP2026M6A154	154	레쿠쟈 EX	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A154.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374745	https://www.serebii.net/card/30thcelebrationjapan/154.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	154
JP2026M6A155	155	게노세크트 EX	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A155.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374755	https://www.serebii.net/card/30thcelebrationjapan/155.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	155
JP2026M6A156	156	M가디안 EX	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A156.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374765	https://www.serebii.net/card/30thcelebrationjapan/156.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	156
JP2026M6A157	157	개굴닌자 BREAK	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A157.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374775	https://www.serebii.net/card/30thcelebrationjapan/157.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	157
JP2026M6A158	158	솔가레오 GX	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A158.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374785	https://www.serebii.net/card/30thcelebrationjapan/158.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	158
JP2026M6A159	159	매시붕 GX	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A159.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374795	https://www.serebii.net/card/30thcelebrationjapan/159.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	159
JP2026M6A160	160	피카츄&제크로무 GX	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A160.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374805	https://www.serebii.net/card/30thcelebrationjapan/160.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	160
JP2026M6A161	161	자시안 V	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A161.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374815	https://www.serebii.net/card/30thcelebrationjapan/161.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	161
JP2026M6A162	162	라이코	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A162.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374825	https://www.serebii.net/card/30thcelebrationjapan/162.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	162
JP2026M6A163	163	뮤 VMAX	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A163.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374835	https://www.serebii.net/card/30thcelebrationjapan/163.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	163
JP2026M6A164	164	아르세우스 VSTAR	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A164.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374845	https://www.serebii.net/card/30thcelebrationjapan/164.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	164
JP2026M6A165	165	잉어킹	REPRINT	포켓몬				external/m6a-30th-celebration/JP2026M6A165.jpg	https://myca.dmm.com/pokemon-trading-card-game/items/single-card/374855	https://www.serebii.net/card/30thcelebrationjapan/165.jpg	https://m.pokemonstore.co.kr/pages/pokemoncardgame30th/product/m6a/index.html	https://www.30th.pokemon-card.com/product/m6a	165
